TypeOfIncident,TypeOfCollission,AuthoritiesContacted,IncidentState,PropertyDamage,BodilyInjuries,Witnesses,InsuredAge,InsuredGender,InsuredEducationLevel,InsuredOccupation,CustomerLoyaltyPeriod,InsurancePolicyState,PolicyAnnualPremium,InsuredRelationship,VehicleMake,VehicleYOM,ReportedFraud
0,2.0,4,4,,1,0,35,1,3,1,49,0,1632.73,1,2,2008,0
0,2.0,4,4,1.0,2,1,36,1,3,12,114,0,1255.19,1,2,2006,0
2,2.0,3,5,1.0,2,1,33,1,3,1,167,2,1373.38,5,14,1999,0
2,2.0,3,6,1.0,2,1,36,1,3,1,190,1,1337.6,3,14,2003,0
2,1.0,1,5,0.0,2,1,29,0,2,3,115,1,1353.73,4,13,2010,0
2,1.0,1,4,0.0,1,1,28,0,2,3,101,1,1334.49,4,13,2011,0
2,0.0,0,2,,0,1,57,1,5,0,471,2,1214.78,3,9,2000,0
2,0.0,4,2,,0,1,49,1,5,0,340,2,1159.81,3,12,2010,0
0,0.0,0,6,1.0,0,0,27,0,2,5,81,1,989.53,3,14,1995,0
2,2.0,4,4,1.0,1,1,48,1,4,2,328,2,1406.91,0,11,2004,1
2,1.0,1,6,0.0,0,0,41,0,4,9,241,2,1250.38,2,10,2002,0
0,2.0,3,4,1.0,1,0,36,0,0,2,208,0,1153.91,1,6,2004,0
0,2.0,3,4,1.0,1,0,36,0,0,2,216,0,1174.75,2,1,2001,0
0,1.0,4,2,0.0,1,0,59,1,1,7,425,2,1226.36,2,12,2011,0
0,2.0,3,4,0.0,1,0,44,0,6,8,289,2,1107.9,4,11,2005,0
0,2.0,3,4,,1,0,44,0,6,8,292,2,1097.61,4,11,2005,0
1,,4,3,1.0,0,1,33,1,2,9,171,1,1338.18,3,13,2000,0
1,,4,3,1.0,0,1,33,1,4,9,171,1,1338.02,3,11,2000,0
3,,2,1,,2,1,40,0,5,3,234,0,1272.75,5,14,2006,0
2,0.0,0,5,,1,1,44,0,0,0,269,2,1194.89,3,13,1997,0
2,0.0,0,5,,1,1,39,0,0,12,223,2,1408.03,3,13,1999,0
0,1.0,3,6,1.0,2,0,42,1,2,3,230,0,1282.98,2,5,2001,0
0,1.0,3,6,,1,1,44,1,2,3,262,0,1382.77,2,5,2002,0
