TypeOfIncident,TypeOfCollission,AuthoritiesContacted,IncidentState,NumberOfVehicles,PropertyDamage,BodilyInjuries,Witnesses,AmountOfTotalClaim,AmountOfInjuryClaim,AmountOfPropertyClaim,AmountOfVehicleDamage,InsuredAge,InsuredGender,InsuredEducationLevel,InsuredOccupation,CapitalGains,CapitalLoss,CustomerLoyaltyPeriod,InsurancePolicyState,Policy_Deductible,PolicyAnnualPremium,InsuredRelationship,VehicleMake,VehicleYOM,ReportedFraud
0,2.0,4,4,3,,1,0,65501,13417,6071,46013,35,1,3,1,56700,-48500,49,0,1000,1632.73,1,2,2008,0
0,2.0,4,4,3,1.0,2,1,61382,15560,5919,39903,36,1,3,12,70600,-48500,114,0,1000,1255.19,1,2,2006,0
2,2.0,3,5,1,1.0,2,1,66755,11630,11630,43495,33,1,3,1,66400,-63700,167,2,617,1373.38,5,14,1999,0
2,2.0,3,6,1,1.0,2,1,66243,12003,12003,42237,36,1,3,1,47900,-73400,190,1,722,1337.6,3,14,2003,0
2,1.0,1,5,1,0.0,2,1,53544,8829,7234,37481,29,0,2,3,0,-41500,115,1,500,1353.73,4,13,2010,0
2,1.0,1,4,1,0.0,1,1,53167,7818,8132,37217,28,0,2,3,0,-41500,101,1,500,1334.49,4,13,2011,0
2,0.0,0,2,1,,0,1,77453,6476,12822,58155,57,1,5,0,67400,0,471,2,512,1214.78,3,9,2000,0
2,0.0,4,2,1,,0,1,60569,5738,7333,47498,49,1,5,0,67400,0,340,2,877,1159.81,3,12,2010,0
0,0.0,0,6,3,1.0,0,0,67876,6788,7504,53584,27,0,2,5,56400,-32800,81,1,2000,989.53,3,14,1995,0
2,2.0,4,4,1,1.0,1,1,71610,6510,13020,52080,48,1,4,2,53300,0,328,2,1000,1406.91,0,11,2004,1
2,1.0,1,6,1,0.0,0,0,58293,9396,5433,43464,41,0,4,9,58100,-65600,241,2,500,1250.38,2,10,2002,0
0,2.0,3,4,3,1.0,1,0,50631,10110,5055,35466,36,0,0,2,0,0,208,0,511,1153.91,1,6,2004,0
0,2.0,3,4,3,1.0,1,0,57120,10593,5297,41230,36,0,0,2,0,0,216,0,1044,1174.75,2,1,2001,0
0,1.0,4,2,3,0.0,1,0,48939,1079,5797,42063,59,1,1,7,30400,0,425,2,1000,1226.36,2,12,2011,0
0,2.0,3,4,1,0.0,1,0,60854,6596,5461,48797,44,0,6,8,0,0,289,2,500,1107.9,4,11,2005,0
0,2.0,3,4,1,,1,0,61697,6172,6167,49358,44,0,6,8,0,-53300,292,2,500,1097.61,4,11,2005,0
1,,4,3,1,1.0,0,1,5371,679,521,4171,33,1,2,9,0,-29200,171,1,1193,1338.18,3,13,2000,0
1,,4,3,1,1.0,0,1,5408,689,524,4195,33,1,4,9,0,-29200,171,1,1201,1338.02,3,11,2000,0
3,,2,1,1,,2,1,6190,619,1208,4363,40,0,5,3,0,0,234,0,2000,1272.75,5,14,2006,0
2,0.0,0,5,1,,1,1,56357,6084,6084,44189,44,0,0,0,73000,-37900,269,2,1620,1194.89,3,13,1997,0
2,0.0,0,5,1,,1,1,61780,6276,6276,49228,39,0,0,12,38700,-37900,223,2,745,1408.03,3,13,1999,0
0,1.0,3,6,3,1.0,2,0,80425,14902,14902,50621,42,1,2,3,69400,-41000,230,0,500,1282.98,2,5,2001,0
0,1.0,3,6,4,,1,1,79356,15170,15170,49016,44,1,2,3,69400,0,262,0,500,1382.77,2,5,2002,0
0,0.0,3,6,2,1.0,2,1,55235,7844,6137,41254,60,0,2,10,0,0,440,1,1000,1339.35,2,14,2001,0
2,0.0,1,1,3,1.0,2,1,52732,11434,5859,35439,57,1,2,10,0,-22400,399,1,1000,1364.65,2,11,1995,0
0,2.0,4,5,2,,1,1,49526,6184,7743,35599,45,0,6,4,0,0,310,2,1000,1389.08,3,7,2015,0
0,2.0,4,5,2,,1,1,48260,5676,7808,34776,44,1,6,10,39000,0,301,2,1000,1392.55,3,13,2015,0
2,0.0,1,4,1,0.0,1,1,70372,12413,8306,49653,35,0,5,11,37800,0,176,0,2000,1167.33,2,6,2006,0
2,0.0,1,4,1,0.0,0,1,68012,11758,9222,47032,38,1,5,11,51500,0,205,0,2000,1309.5,2,12,2005,0
0,2.0,4,2,4,1.0,0,0,62702,5392,10355,46955,53,1,1,12,45700,-65400,419,0,2000,740.27,1,10,2012,0
0,0.0,3,2,3,,1,0,30412,5018,5822,19572,44,0,5,11,0,-56800,311,0,1000,1017.29,2,11,2006,0
0,0.0,0,2,3,,1,1,47814,5765,10367,31682,42,0,5,11,71300,-70300,293,0,1000,1221.12,2,11,2007,0
